集合来源,测试用例ID,业务域,功能模块,子功能/闭环,优先级,难度,自动化类型,测试步骤/描述,预期结果,前置条件/备注,覆盖代码/接口,现有覆盖状态
现有用例-可自动化,CX-MED-019,七、健康档案页 /medical-records,病历档案,男性隐藏月经状态,P1,Med,是,男性账号进入病历档案,不展示月经状态字段,男性账号,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-020,七、健康档案页 /medical-records,病历档案,不同关注情况字段变化,P1,Med,是,不同 currentConcern 账号进入,字段按规则展示,需多账号或造数据,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-021,七、健康档案页 /medical-records,病历档案,未保存返回提示,P1/P0,Med,视需求,编辑后不保存直接返回,若产品要求，应提示未保存；若当前无设计，则不纳入 P0,需产品确认,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-022,七、健康档案页 /medical-records,MVP限制,单档案限制,P1,Easy,是,进入健康档案页,仅展示一个病历档案卡片，无新增/切换档案入口,当前 MVP 设计,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-023,七、健康档案页 /medical-records,清空后档案,清空后健康档案空态,P1,Med,是，专用账号,专用账号已有结构化档案和病历文档 → 账号安全确认清空 → 进入健康档案,病历档案显示“尚未填写病历信息”，病历文档为空态,覆盖已有档案删除,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-024,七、健康档案页 /medical-records,清空后档案,删除后重建结构化档案,P1,Med,是，专用账号,执行清空健康档案后 → 进入健康档案 → 编辑病历档案并保存用药/治疗阶段等字段,保存成功，重新生成 medical_records；刷新后新字段仍存在,用户重点场景：已有档案删除再重建,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-025,七、健康档案页 /medical-records,清空后档案,删除后重新上传文档,P1,Hard,是，慢/专用账号,清空后进入病历上传 → 上传有效病历图片 → OCR 成功确认,新病历文档出现在列表，旧文档不恢复,依赖 OCR/OSS,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-026,七、健康档案页 /medical-records,清空后档案,清空不影响个人信息授权对话,P1,Med,是,清空健康档案后查看个人信息、健康授权、对话历史,昵称/生日/性别/currentConcern 保留；健康授权不重复弹；对话历史仍可打开,`purgeMedicalData` 只删 medical_records/documents/OSS,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-027,七、健康档案页 /medical-records,清空后档案,旧文档详情不可再访问,P1,Med,是/接口辅助,记录清空前文档详情页/接口ID → 清空后再次打开旧文档,页面无法展示旧文档，接口返回文档不存在或列表无该项,验证删除彻底性,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-028,七、健康档案页 /medical-records,病历档案,非法字段后端拒绝,P2,Med,接口自动化,男性账号或非肿瘤关注账号通过接口提交 menstrualStatus/tumorType 等不可见字段,后端返回“当前关注情况不允许更新字段”或非法字段错误,前端隐藏不等于后端信任,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-029,七、健康档案页 /medical-records,病历档案,关注情况切换隐藏旧扩展字段,P1,Med,是,肿瘤关注账号先保存 tumorType 等 → 切 currentConcern 为结节随访 → 回健康档案,扩展字段在 UI 隐藏；基础字段和用药仍可编辑保存,旧 JSON 数据可存在但不可见/不可再更新,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-030,七、健康档案页 /medical-records,病历档案,自定义用药分隔去重,P1,Med,是,输入“药A，药A、药B；药B。”并添加/保存,最终仅展示“药A、药B”，末尾标点被清理,splitMedicationCustom/joinMedicationCustom,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-031,七、健康档案页 /medical-records,病历档案,未点添加的自定义药随保存提交,P1,Med,是,用药下拉中输入自定义药名但不点添加 → 直接点档案保存,该自定义药仍被提交并显示,handleSave 合并 pendingCustomNames,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-033,七、健康档案页 /medical-records,病历档案,折叠/取消丢弃未保存变更,P1,Easy,是,进入编辑修改字段 → 点击取消或折叠箭头,恢复 initialData，未保存内容不出现在摘要,当前实现编辑中点折叠会调用 cancel,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-034,七、健康档案页 /medical-records,病历档案,未授权直接保存403,P2,Med,接口自动化,未 health_profile 授权账号绕过UI直接 POST /medical,后端返回403“需要先完成健康档案授权”,验证服务端授权边界,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-OCR-001,八、病历文档上传 / OCR,病历上传,进入上传页,P0,Easy,是,健康档案页点击右上角 + 或上传第一份病历,进入上传病历图片页面,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-OCR-002,八、病历文档上传 / OCR,病历上传,上传页元素,P0,Easy,是,进入上传页,展示拍照、从相册选择、取消,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-OCR-003,八、病历文档上传 / OCR,病历上传,取消上传,P0,Easy,是,点击取消,返回健康档案列表页,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-OCR-004,八、病历文档上传 / OCR,病历上传,选择图片预览,P0,Med,是,设置 JPG/PNG 文件到 file input,图片预览出现,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-OCR-005,八、病历文档上传 / OCR,病历上传,删除图片,P1,Easy,是,上传图片后点击删除,图片预览消失,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-OCR-006,八、病历文档上传 / OCR,病历上传,开始识别按钮,P0,Easy,是,上传图片后观察页面,显示“开始识别（1张）”,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-OCR-007,八、病历文档上传 / OCR,病历上传,不支持格式,P0,Easy,是,上传 txt/HEIC/TIFF 等不支持格式,提示不支持图片格式，请转 JPG/PNG,fast 推荐,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-OCR-008,八、病历文档上传 / OCR,病历上传,单张超过 10MB,P1,Med,是,上传超大图片,提示单张图片不能超过 10MB,需准备大图片,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-OCR-009,八、病历文档上传 / OCR,病历上传,最多 10 张,P1,Med,是,上传超过 10 张图片,提示最多上传 10 张，仅保留前 N 张,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-OCR-010,八、病历文档上传 / OCR,OCR识别,正常病历识别,P1,Hard,是，慢,上传有效病历图片 → 开始识别,显示识别中，最终识别完成,依赖 OCR/AI 后端,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-OCR-011,八、病历文档上传 / OCR,OCR识别,识别后生成文档,P1,Hard,是，慢,OCR 成功后确认,返回列表，新增病历文档,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-OCR-012,八、病历文档上传 / OCR,OCR识别,非健康图片,P2,Hard,是，慢,上传非健康相关图片 → 开始识别,失败或提示无法识别健康信息,不建议放 fast,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-OCR-014,八、病历文档上传 / OCR,病历文档,查看详情,P1,Med,是,有文档时点击文档卡片,进入详情页，展示标题、日期、图片,需有文档,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-OCR-015,八、病历文档上传 / OCR,病历文档,图片预览,P1,Med,是,详情页点击病历图片,打开大图预览,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-OCR-016,八、病历文档上传 / OCR,病历文档,删除文档,P1,Med,是，测试账号,详情页点击删除,确认后文档从列表消失,会破坏数据,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-OCR-020,八、病历文档上传 / OCR,OCR识别,成功后自动填充档案字段,P1,Hard,是，慢,上传可识别病历 → OCR 成功 → 返回健康档案,可识别字段回填到病历档案卡，用户核对后可保存/继续编辑,onFieldsExtracted 更新 medicalProfileData,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-OCR-022,八、病历文档上传 / OCR,病历文档,删除文档二次确认取消,P1,Easy,是,文档列表或详情点击删除 → 系统确认框点取消,文档仍在列表，详情仍可打开,浏览器 confirm,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-OCR-023,八、病历文档上传 / OCR,病历文档,删除后刷新持久消失,P1,Med,是，测试账号,删除某文档并确认 → 刷新或重新进入健康档案,该文档仍不存在，列表数量减少,会破坏测试数据,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-OCR-024,八、病历文档上传 / OCR,病历文档,详情大图关闭与切换,P1,Med,是,详情页点击图片打开大图 → 切换/关闭,大图层正常展示对应图片，关闭后回到详情页,ImageLightbox,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MAT-001,九、我的材料 /materials,我的材料,页面进入,P1,Easy,是,侧边栏点击我的材料,进入 /materials,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MAT-002,九、我的材料 /materials,我的材料,沟通卡空状态,P1,Easy,是,无沟通卡账号进入“我的材料”且停留“我的沟通卡”Tab,显示“暂无已保存的沟通卡”及说明文案,空材料账号,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MAT-003,九、我的材料 /materials,我的材料,列表展示,P1,Med,是,有沟通卡片账号进入,展示卡片日期、标题、预览,需预置材料,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MAT-004,九、我的材料 /materials,我的材料,查看详情,P1,Med,是,点击沟通卡片,进入详情页,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MAT-005,九、我的材料 /materials,我的材料,编辑卡片,P1,Med,是,详情页点击编辑卡片,卡片内容进入可编辑状态,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MAT-006,九、我的材料 /materials,我的材料,保存修改,P1,Med,是,修改字段 → 保存修改,保存成功，内容更新,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MAT-007,九、我的材料 /materials,我的材料,取消编辑,P1,Easy,是,编辑中点击取消,退出编辑，恢复原内容,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MAT-008,九、我的材料 /materials,我的材料,返回列表,P1,Easy,是,详情页点击返回列表,回到材料列表,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MAT-009,九、我的材料 /materials,我的材料,返回聊天,P1,Easy,是,列表页点击返回,回到聊天页,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MAT-010,九、我的材料 /materials,我的材料,Tab切换,P1,Easy,是,进入 /materials → 在“我的沟通卡”和“我的跟练卡”之间切换,选中态正确，列表/空态随 Tab 切换,当前实现双 Tab,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MAT-011,九、我的材料 /materials,我的材料,跟练卡空状态,P1,Easy,是,无已保存跟练卡账号进入“我的跟练卡”,显示“暂无已保存的跟练卡”及说明文案,空材料账号,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MAT-012,九、我的材料 /materials,我的材料,跟练卡列表展示,P1,Med,是,预置已保存跟练方案账号进入“我的跟练卡”,展示保存日期、方案名、副作用/场景、进度和跟练时长,需预置 intervention engagement,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MAT-013,九、我的材料 /materials,我的材料,跟练卡详情,P1,Med,是,点击一张跟练卡,进入详情并展示干预方案 Inline 卡片，可继续跟练/查看步骤,依赖素材详情可用,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MAT-016,九、我的材料 /materials,我的材料,沟通卡编辑取消恢复,P1,Easy,是,详情页点击编辑 → 修改字段 → 点击取消,退出编辑，恢复原始卡片内容,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MAT-017,九、我的材料 /materials,我的材料,返回原会话并打开侧栏,P1,Med,是,从某会话侧边栏进入我的材料 → 进入详情再返回列表 → 点击返回,回到原 `/chat/:sessionId` 并重新打开侧边栏,returnSessionId + returnToSettings,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-SEC-001,十、账号与安全,账号安全,页面进入,P1,Easy,是,个人信息编辑页 → 点击账号与安全,进入账号与安全页,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-SEC-002,十、账号与安全,账号安全,返回个人信息,P1,Easy,是,账号与安全页点击返回,回到个人信息页,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-SEC-003,十、账号与安全,清空档案,打开清空弹窗,P1,Easy,是,点击清空健康档案,弹出二次确认弹窗,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-SEC-004,十、账号与安全,清空档案,取消清空,P1,Easy,是,弹窗点击取消,弹窗关闭，数据不变,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-SEC-005,十、账号与安全,清空档案,确认清空,P2,Med,是，测试账号,专用账号点击确认清空,健康档案/病历文档被清空,破坏性操作,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-SEC-006,十、账号与安全,注销账号,打开注销流程,P2,Easy,是,点击注销账号,打开注销账号向导,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-SEC-007,十、账号与安全,注销账号,取消注销,P2,Easy,是,注销流程点击取消,流程关闭，账号仍可用,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-SEC-009,十、账号与安全,清空档案,发送清空验证码与倒计时,P1,Med,是,打开清空健康档案 → 点击“我已了解，继续”,进入短信验证页，自动发送验证码；重新发送按钮显示60s倒计时,后端 /account/medical/send-code,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-SEC-010,十、账号与安全,清空档案,验证码为空拦截,P1,Easy,是,进入清空验证页不输入验证码,确认清除按钮禁用或提示“请输入验证码”,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-SEC-011,十、账号与安全,清空档案,错误验证码,P1,Med,是,输入错误验证码 → 确认清除,提示“验证码错误或已过期”，不清空档案,专用账号,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-SEC-012,十、账号与安全,清空档案,验证码超时,P1,Med,是/需测试钩子,发送清空验证码 → 等待5分钟或删除 Redis code → 输入原验证码,提示验证码错误或已过期；档案仍保留,覆盖用户提到的验证码超时,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-SEC-013,十、账号与安全,清空档案,验证码一次性,P1,Med,接口自动化,验证码清空成功后再次复用同验证码调用清空/注销接口,第二次验证码校验失败,verifyCode 成功后 del key,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-SEC-014,十、账号与安全,清空档案,清空成功确认页,P1,Med,是，专用账号,正确验证码确认清空 → 成功页点击“知道了”,弹窗关闭并返回 /profile?mode=edit；再次进入健康档案为空态,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-SEC-015,十、账号与安全,注销账号,风险阅读倒计时,P2,Easy,是,打开注销账号弹窗,继续按钮在10s倒计时结束前不可点，结束后变为“我已阅读，继续”,代码当前为10s；注释写30s，需产品确认,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-SEC-016,十、账号与安全,注销账号,确认短语校验,P2,Easy,是,倒计时后进入短语页，输入非“确认注销”内容,下一步不可点；输入完全匹配后才可进入短信验证,trim 后匹配,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-SEC-017,十、账号与安全,注销账号,注销短信重发倒计时,P2,Med,是,进入注销短信验证页,自动发送验证码，重新发送60s内不可点,后端 /account/deletion/send-code,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-SEC-018,十、账号与安全,注销账号,注销验证码错误/超时,P2,Med,是/专用账号,输入错误或过期验证码确认注销,提示错误，不进入冷静期，账号仍 active,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-SEC-019,十、账号与安全,注销冷静期,业务页面拦截,P1,Med,是/专用账号,账号进入 pending_deletion 后访问 /chat、/medical-records、/materials,业务接口返回403并自动跳 /deletion-pending,requireActiveAccount + api.ts,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-SEC-020,十、账号与安全,注销冷静期,撤销注销恢复,P1,Med,是/专用账号,冷静期页面点击“撤销注销”,恢复 active 并跳 /chat；后续业务接口可正常访问,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-SEC-021,十、账号与安全,注销冷静期,冷静期退出再登录,P1,Med,是/专用账号,pending_deletion 页面点击退出登录 → 用原手机号重新登录,再次进入 /deletion-pending，可选择撤销,登录后检查 /account/status,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-SEC-022,十、账号与安全,注销账号,完成页退出登录,P2,Med,是/专用账号,注销确认成功进入 done 页 → 点击“我知道了”,清本地登录态并返回 /login,强破坏性流程,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-WV-COMPAT-001,十一、WebView 容器兼容性,WebView兼容,首屏高度与白屏兜底,P0,Easy,是,在目标 Android WebView 启动登录页/对话页,页面使用完整可视高度，无0高度白屏、无底部异常空白,`--app-height` 100vh/100dvh 兜底,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-WV-COMPAT-002,十一、WebView 容器兼容性,WebView兼容,软键盘不遮挡输入框,P0,Med,是,进入 /chat 聚焦输入框唤起软键盘 → 输入多行文字,InputBar 跟随键盘上浮；发送按钮可见可点；消息区可滚动,visualViewport 写入 --keyboard-offset,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-WV-COMPAT-004,十一、WebView 容器兼容性,WebView兼容,深链刷新/重进,P0,Med,是,登录态下直接打开或刷新 /chat/:sessionId、/profile?mode=edit、/medical-records,前端路由可恢复；后端静态资源 fallback 正常；无404白屏,BrowserRouter 需服务端 fallback,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-READ-001,十二、阅读设置 /reading-settings,阅读设置,页面进入,P0,Easy,是,侧边栏点击阅读设置,进入 /reading-settings，展示“小/中/大”三档卡片,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-READ-002,十二、阅读设置 /reading-settings,阅读设置,三档切换选中态,P0,Easy,是,依次点击小/中/大字体,对应卡片显示选中态，其他卡片取消选中,aria-pressed 可辅助断言,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-READ-003,十二、阅读设置 /reading-settings,阅读设置,字号持久化,P1,Easy,是,选择“大” → 重启 App/WebView 或刷新页面,仍保持“大”选中态,localStorage `cx-settings`,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-READ-004,十二、阅读设置 /reading-settings,阅读设置,聊天与材料字号生效,P1,Med,是,切换字号后返回聊天/材料详情,消息正文、卡片标题/预览字号随 `--font-size-chat` 改变,视觉断言或 computed style,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-READ-005,十二、阅读设置 /reading-settings,阅读设置,返回原会话侧栏,P1,Easy,是,从某会话侧边栏进入阅读设置 → 点击返回,回到原会话并重新打开侧边栏,returnSessionId + openSidebar,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
新增建议-完整业务闭环,CX-BIZ-AUTH-001,一、登录与首次激活闭环,登录/个人信息/Chat,新用户首登到首轮对话,P0,Med,UI E2E + 动态账号,使用新手机号登录 → 勾选用户协议/隐私政策 → 跳转个人信息必填页 → 验证未填必填项不能保存 → 填昵称/生日/性别/当前关注 → 保存 → 进入 /chat → 展示首次激活欢迎语 → 发送一句普通问题。,登录协议 consent 写入；个人信息落库；localStorage profile 标记清除；首次欢迎语出现；普通对话可正常生成回答并产生会话标题。,可复用 TEST_PHONE_NEEDS_PROFILE_AUTO_INCREMENT；避免使用已有资料账号。,"Login.tsx, Profile.tsx, Chat.tsx, /api/auth/send-code, /api/auth/login, /api/medical/profile, first-activation",现有覆盖登录/资料分散流程；建议新增闭环串联用例
新增建议-完整业务闭环,CX-BIZ-CHAT-001,二、对话主链路闭环,Chat/Session/Feedback/Share,发送消息到历史恢复、反馈和分享,P0,Med,UI E2E + API 清理,新建对话 → 发送短问题 → 等待 thinking/process/answer 完成 → 校验免责声明/复制按钮 → 点有帮助/没帮助 → 分享至此 → 打开分享链接 → 回到 App 打开侧栏历史 → 重新进入该会话 → 删除测试会话。,用户消息、AI消息、process timeline、feedback、share token、历史列表与分享页均正常；删除后历史不再展示。,真实 LLM 成本可控；建议消息要求“只回复一句固定话”。,"Chat.tsx, useSSE.ts, sessions.ts, feedback.ts, share.ts, SharedView.tsx",现有多条原子用例已覆盖；建议保留一条 P0 闭环冒烟
新增建议-完整业务闭环,CX-BIZ-CHAT-002,二、对话主链路闭环,Chat,中断、重试、编辑后重试,P1,Med,UI E2E,发送要求长回答的问题 → 停止生成 → 验证已中断 chip 和重试入口 → 点击重试 → 再次中断 → 编辑用户问题并保存重试。,中断消息被标记 interrupted；未配对 tool call 不影响下一轮；重试/编辑重试能重新生成，用户新文本可见。,可复用现有 CX-CHAT-008/009/010 类能力，建议闭环合并跑一次。,"Chat.tsx, agent loop interrupted handling, routes/chat.ts persist trimming",已有原子覆盖；闭环用例建议加入 extended-fast
新增建议-完整业务闭环,CX-BIZ-COMM-001,三、医患沟通卡片闭环,Chat/CommunicationCard/Materials,聊天内生成沟通卡并保存到我的材料,P0,Hard,LLM UI E2E + API 校验,新建对话 → 发送“帮我整理一张下周复诊给医生看的沟通卡，重点是腹泻和用药调整” → 等待 generate_communication_card 工具卡片出现 → 断言卡片含就诊目标/我的情况/特别说明/我的问题 → 点击“保存到我的材料” → 点击“查看材料”或进入 /materials → 打开该卡详情。,聊天内出现沟通卡草稿；保存按钮调用 /medical/communication-cards；保存后按钮变“已保存到我的材料”；材料列表出现同标题卡；详情字段与聊天草稿一致。,核心新增闭环；需要真实 LLM 或在测试环境提供固定工具输出 hook。,"generate-communication-card.ts, CommunicationCardInline.tsx, communication-card.ts, Materials.tsx, /api/medical/communication-cards",现有仅覆盖已保存卡管理，未覆盖聊天生成+保存闭环
新增建议-完整业务闭环,CX-BIZ-COMM-002,三、医患沟通卡片闭环,Chat/CommunicationCard,仅表达复诊意图时先询问再生成,P1,Hard,LLM E2E / 可测试钩子辅助,发送“我下周复诊，不知道要问医生什么” → 观察 AI 先询问是否需要整理沟通卡，不直接出卡 → 回复“需要，帮我整理” → 再等待沟通卡出现。,未获明确同意前不调用 generate_communication_card；用户同意后才生成沟通卡。,模型稳定性依赖 prompt；适合非每日 smoke，或用 test route 校验工具调用事件。,"generate-communication-card tool description, agent loop tool call policy",新增建议
新增建议-完整业务闭环,CX-BIZ-COMM-003,三、医患沟通卡片闭环,CommunicationCard,同一工具结果重复保存幂等,P1,Med,UI E2E + API 校验（WeChat_H5_POC 已接入）,构造同一 sourceSessionId + sourceToolCallId 的沟通卡保存请求 → 连续保存两次 → 进入我的材料打开该卡。,两次保存返回同一 cardId；沟通卡列表中该标题只出现一条；材料详情展示完整字段；不会重复创建沟通卡。,可直接通过 API 传相同 sourceToolCallId 验证，再用 UI 验证状态同步。,"findCommunicationCardBySource, /medical/communication-cards/lookup, CommunicationCardInline",WeChat_H5_POC 已实现：CX-BIZ-COMM-003；覆盖 /medical/communication-cards 按来源幂等与材料页展示。
新增建议-完整业务闭环,CX-BIZ-COMM-004,三、医患沟通卡片闭环,Materials/CommunicationCard,已保存沟通卡编辑后返回原会话并注入增量事件,P1,Med,UI E2E + API 校验（WeChat_H5_POC 已接入）,进入我的材料/我的沟通卡 → 打开已保存沟通卡（无数据时先通过聊天生成并保存）→ 点击“编辑卡片” → 修改标题、日期、就诊目标、我的情况、特别说明、我的问题 → 点击“保存修改” → 返回/刷新材料页后再次打开该卡。,编辑态展示标题、日期和四个详情输入框；保存后退出编辑态；详情页展示修改后的内容；/api/medical/communication-cards/:id 返回的新 draft 与 UI 修改一致；刷新后仍可看到修改内容。,UI 可断言返回；事件可用 /api/chat/debug/:sessionId 或 Redis 测试钩子断言。,"Materials.tsx, routes/medical.ts communication_card_updated, session-events.ts",WeChat_H5_POC 已实现：src/specs/12-business-llm-smoke.spec.ts → CX-BIZ-COMM-004；覆盖沟通卡详细字段编辑、保存、API 与刷新后 UI 持久化。
新增建议-完整业务闭环,CX-BIZ-COMM-005,三、医患沟通卡片闭环,Chat/read_medical_documents,读取已保存沟通卡并展示引用 chip,P1,Hard,LLM E2E + API seed,"预置一张沟通卡 → 新会话发送“请查看我保存的最新复诊沟通卡并总结要点” → 等待模型调用 read_medical_documents({ids:[""c-1""]}) → 查看 assistant 上方沟通卡引用 chip → 点击 chip。",工具读取 c-* 卡片 markdown；前端收到 communication_card_attached；展示“沟通卡 #c-1”chip；点击打开卡片弹窗。,可用 API seed + debug/event 断言工具调用；真实 LLM 存在不确定性。,"read-medical-docs.ts, loop.ts COMMUNICATION_CARD_ATTACHED, CommunicationCardReferenceChip.tsx",新增建议
新增建议-完整业务闭环,CX-BIZ-COMM-006,三、医患沟通卡片闭环,Chat/CommunicationCard,重复用户消息不重复展示沟通卡,P2,Hard,LLM E2E / Hook 断言,用户请求生成沟通卡并成功展示 → 立刻重复发送完全相同消息。,avoid_duplicate_card_on_repeated_user_message hook 拦截同类卡片重复展示；AI 换文字角度回应并询问是否不满意。,适合在 agent harness/test route 做断言。,"agent/hooks/builtin.ts, loop.ts single turn visible card idempotency",新增建议
新增建议-完整业务闭环,CX-BIZ-INT-001,四、干预跟练卡闭环,Chat/InterventionMaterial/Materials,聊天触发干预方案并保存到我的材料,P0,Hard,LLM UI E2E + API 校验,发送轻症场景，如“刚吐完，嘴里发酸，喉咙不舒服，没有喝不进水/脱水/持续呕吐” → 等待 show_intervention_material 卡片 → 断言总览图、总时长、开始前确认、安全提示 → 点击“保存到我的材料” → 进入我的材料/我的跟练卡。,干预方案卡正常展示；保存产生 engagement；按钮变已保存；我的跟练卡列表出现保存日期、方案名、进度、跟练时长。,需素材库已有匹配 code；可 API/mock 工具输出降低 LLM 不确定性。,"show-intervention-material.ts, InterventionMaterialInline.tsx, intervention-material-runtime.ts, Materials.tsx",现有只覆盖材料页已保存跟练卡，未覆盖聊天触发+保存
